date,side,symbol,shares,price,value,rating,entry_date,entry_price,cost_basis,pnl,pnl_pct,holding_days
2026-02-10,SELL,BG,173.8450123940522,116.99030303955078,20338.180681894628,79.0,2026-02-09,117.26703643798828,20386.289402975843,-48.10872108121475,-0.002359856672798542,1.0
2026-02-10,SELL,CVX,113.76923911484329,178.8561553955078,20348.328710353097,79.0,2026-02-09,179.1898193359375,20386.289402975843,-37.96069262274614,-0.0018620697407152923,1.0
2026-02-11,SELL,HAS,213.8792650840546,104.35989379882812,22320.417389943344,83.75,2026-02-09,95.31681060791016,20386.289402975843,1934.1279869675018,0.09487395909748891,2.0
2026-02-17,BUY,BG,170.97266985652294,121.1515121459961,20713.59748875592,90.0,,,,,,
2026-02-17,BUY,HST,1046.19816813141,19.79892349243164,20713.59748875592,90.0,,,,,,
2026-02-17,BUY,MNST,249.8624500301095,82.9000015258789,20713.59748875592,90.0,,,,,,
2026-02-17,BUY,PH,20.556292418289132,1007.6524047851562,20713.59748875592,90.0,,,,,,
2026-02-17,BUY,ROST,104.93069673317173,197.40264892578125,20713.59748875592,90.0,,,,,,
2026-02-18,SELL,BG,170.97266985652294,121.04216766357422,20694.902570662172,79.0,2026-02-17,121.1515121459961,20713.59748875592,-18.69491809374813,-0.0009025432739965328,1.0
2026-02-18,SELL,PH,20.556292418289132,995.2504272460938,20458.658811897898,79.0,2026-02-17,1007.6524047851562,20713.59748875592,-254.93867685802252,-0.012307793322546329,1.0
2026-02-19,SELL,HST,1046.19816813141,19.85828971862793,20775.706325851355,84.0,2026-02-17,19.79892349243164,20713.59748875592,62.108837095434865,0.002998457275668785,2.0
2026-02-19,SELL,MNST,249.8624500301095,81.98999786376953,20486.2217442049,79.0,2026-02-17,82.9000015258789,20713.59748875592,-227.37574455102003,-0.010977124793240174,2.0
2026-02-19,SELL,ROST,104.93069673317173,199.56381225585938,20940.3698627352,79.0,2026-02-17,197.40264892578125,20713.59748875592,226.7723739792782,0.010947995590933846,2.0
2026-02-24,BUY,HSIC,248.0044660047401,83.3499984741211,20671.171863070304,93.75,,,,,,
2026-02-24,BUY,AME,87.5486893648276,236.11058044433594,20671.171863070304,90.0,,,,,,
2026-02-24,BUY,CASY,30.35380908543939,681.0075073242188,20671.171863070304,90.0,,,,,,
2026-02-24,BUY,CB,61.73928749054456,334.81390380859375,20671.171863070304,90.0,,,,,,
2026-02-24,BUY,CSX,489.82397372461304,42.20122528076172,20671.171863070304,90.0,,,,,,
2026-02-25,SELL,AME,87.5486893648276,232.30235290527344,20337.76653322234,79.0,2026-02-24,236.11058044433594,20671.171863070304,-333.405329847963,-0.016128999945262033,1.0
2026-02-25,SELL,CASY,30.35380908543939,675.271484375,20497.06171756002,79.0,2026-02-24,681.0075073242188,20671.171863070304,-174.11014551028347,-0.008422848335044648,1.0
2026-02-25,SELL,CB,61.73928749054456,332.5178527832031,20529.415308720752,79.0,2026-02-24,334.81390380859375,20671.171863070304,-141.75655434955115,-0.006857693182010821,1.0
2026-02-25,SELL,CSX,489.82397372461304,41.95280838012695,20549.49130966103,79.0,2026-02-24,42.20122528076172,20671.171863070304,-121.68055340927458,-0.005886485498514997,1.0
2026-02-25,SELL,HSIC,248.0044660047401,81.91000366210938,20314.04671866774,66.75,2026-02-24,83.3499984741211,20671.171863070304,-357.125144402562,-0.017276482763929665,1.0
2026-03-03,BUY,CF,193.12349627847968,105.86778259277344,20445.556317566377,93.75,,,,,,
2026-03-03,BUY,TGT,170.85037870521597,119.66936492919922,20445.556317566377,93.75,,,,,,
2026-03-03,BUY,CBOE,67.30089217321381,303.7932434082031,20445.556317566377,90.0,,,,,,
2026-03-03,BUY,TRGP,84.20029598976102,242.8204803466797,20445.556317566377,90.0,,,,,,
2026-03-03,BUY,VZ,407.9629312571946,50.1162109375,20445.556317566377,90.0,,,,,,
2026-03-04,SELL,CBOE,67.30089217321381,299.9912109375,20189.67614021653,79.0,2026-03-03,303.7932434082031,20445.556317566377,-255.88017734984896,-0.012515197599685867,1.0
2026-03-04,SELL,TRGP,84.20029598976102,241.83543395996094,20362.615120241015,79.0,2026-03-03,242.8204803466797,20445.556317566377,-82.94119732536274,-0.00405668576766001,1.0
2026-03-04,SELL,CF,193.12349627847968,104.28424072265625,20139.737175105984,72.75,2026-03-03,105.86778259277344,20445.556317566377,-305.8191424603938,-0.014957731533949048,1.0
2026-03-04,SELL,TGT,170.85037870521597,118.95610046386719,20323.694813547427,72.75,2026-03-03,119.66936492919922,20445.556317566377,-121.86150401895065,-0.005960292893289966,1.0
2026-03-05,SELL,VZ,407.9629312571946,50.4216194152832,20570.15165539361,68.0,2026-03-03,50.1162109375,20445.556317566377,124.59533782723156,0.006094005753229711,2.0
2026-03-10,BUY,CASY,29.469027537558215,689.441650390625,20317.174980900912,90.0,,,,,,
2026-03-10,BUY,AEP,154.67256787971147,131.3560333251953,20317.174980900912,79.0,,,,,,
2026-03-10,BUY,AMGN,54.52574538766502,372.6161804199219,20317.174980900912,79.0,,,,,,
2026-03-10,BUY,CVX,110.06100562199687,184.59921264648438,20317.174980900912,79.0,,,,,,
2026-03-10,BUY,CME,66.66617831183731,304.7598571777344,20317.174980900912,79.0,,,,,,
2026-03-11,SELL,AEP,154.67256787971147,130.3135986328125,20155.938930183165,79.0,2026-03-10,131.3560333251953,20317.174980900912,-161.23605071774728,-0.00793594832299848,1.0
2026-03-11,SELL,AMGN,54.52574538766502,374.8096618652344,20436.77619170059,79.0,2026-03-10,372.6161804199219,20317.174980900912,119.60121079967575,0.005886704766391314,1.0
2026-03-11,SELL,CASY,29.469027537558215,684.5250854492188,20172.28859325242,79.0,2026-03-10,689.441650390625,20317.174980900912,-144.88638764849384,-0.007131227042376401,1.0
2026-03-11,SELL,CME,66.66617831183731,301.765380859375,20117.544688710594,74.6,2026-03-10,304.7598571777344,20317.174980900912,-199.63029219031887,-0.0098256914348565,1.0
2026-03-13,SELL,CVX,110.06100562199687,195.03366088867188,21465.600847546746,79.0,2026-03-10,184.59921264648438,20317.174980900912,1148.4258666458336,0.05652487945422566,3.0
2026-03-17,BUY,CASY,29.610324838474238,691.3004150390625,20469.629850278703,90.0,,,,,,
2026-03-17,BUY,CVX,104.34467091180251,196.1732177734375,20469.629850278703,90.0,,,,,,
2026-03-17,BUY,XOM,129.7686971110976,157.73934936523438,20469.629850278703,90.0,,,,,,
2026-03-17,BUY,VTR,234.10088166539555,87.4393539428711,20469.629850278703,90.0,,,,,,
2026-03-17,BUY,BG,163.48614513352328,125.20712280273438,20469.629850278703,83.75,,,,,,
2026-03-18,SELL,XOM,129.7686971110976,156.52757263183594,20312.379162396046,79.0,2026-03-17,157.73934936523438,20469.629850278703,-157.25068788265708,-0.007682146137123043,1.0
2026-03-18,SELL,VTR,234.10088166539555,86.77362823486328,20313.782875086756,79.0,2026-03-17,87.4393539428711,20469.629850278703,-155.84697519194742,-0.007613570754911599,1.0
2026-03-18,SELL,BG,163.48614513352328,123.28865814208984,20155.987458335036,72.75,2026-03-17,125.20712280273438,20469.629850278703,-313.64239194366746,-0.01532232845624207,1.0
